Bundesland,Winterferien,Osterferien,Pfingstferien,Sommerferien,Herbstferien,Weihnachtsferien
Baden-Württemberg,-*,23.03. - 05.04.,21.05. - 31.05.,25.07. - 07.09.,28.10. - 30.10.+31.10.,23.12. - 04.01.
Bayern,12.02. - 16.02.*,25.03. - 06.04.,21.05. - 01.06.,29.07. - 09.09.,28.10. - 31.10.+20.11.*,23.12. - 03.01.
Berlin,05.02. - 10.02.,25.03. - 05.04.,10.05.*,18.07. - 30.08.,04.10.+21.10. - 02.11.*,23.12. - 31.12.
Brandenburg,05.02. - 09.02.,25.03. - 05.04.,-*,18.07. - 31.08.,04.10.+21.10. - 02.11.*,23.12. - 31.12.
Bremen,01.02. - 02.02.*,18.03. - 28.03.,10.05.+21.05.*,24.06. - 02.08.,04.10. - 19.10.+01.11.*,23.12. - 04.01.
Hamburg,02.02.,18.03. - 28.03.*,10.05.+21.05. - 24.05.*,18.07. - 28.08.,04.10.+21.10. - 01.11.*,20.12. - 03.01.
Hessen,-,25.03. - 13.04.,-,15.07. - 23.08.,14.10. - 25.10.,23.12. - 10.01.
Mecklenburg-Vorpommern,05.02. - 16.02.,25.03. - 03.04.,10.05.+17.05. - 21.05.*,22.07. - 31.08.,04.10.+21.10. - 26.10.+01.11.*,23.12. - 06.01.*
Niedersachsen,01.02. - 02.02.,18.03. - 28.03.,10.05.+21.05.*,24.06. - 03.08.,04.10. - 19.10.+01.11.*,23.12. - 04.01.
Nordrhein-Westfalen,-,25.03. - 06.04.,21.05.,08.07. - 20.08.,14.10. - 26.10.,23.12. - 06.01.
Rheinland-Pfalz,-*,25.03. - 02.04.,21.05. - 29.05.,15.07. - 23.08.,14.10. - 25.10.,23.12. - 08.01.
Saarland,12.02. - 16.02.,25.03. - 05.04.,21.05. - 24.05.,15.07. - 23.08.,14.10. - 25.10.,23.12. - 03.01.
Sachsen,12.02. - 23.02.,28.03. - 05.04.,10.05.+18.05. - 21.05.*,20.06. - 02.08.,07.10. - 19.10.,23.12. - 03.01.
Sachsen-Anhalt,05.02. - 10.02.,25.03. - 30.03.,21.05. - 24.05.,24.06. - 03.08.,30.09. - 12.10.+01.11.,23.12. - 04.01.
Schleswig-Holstein,-,02.04. - 19.04.,10.05. - 11.05.*,22.07. - 31.08.*,21.10. - 01.11.*,19.12. - 07.01.
Thüringen,12.02. - 16.02.,25.03. - 06.04.,10.05.*,20.06. - 31.07.,30.09. - 12.10.,23.12. - 03.01.
