Bundesland,Winterferien,Osterferien,Pfingstferien,Sommerferien,Herbstferien,Weihnachtsferien
Baden-Württemberg,-*,06.04.+11.04. - 15.04.*,30.05. - 09.06.,27.07. - 09.09.,30.10. - 03.11.,23.12. - 05.01.
Bayern,20.02. - 24.02.*,03.04. - 15.04.,30.05. - 09.06.,31.07. - 11.09.,30.10. - 03.11.+22.11.*,23.12. - 05.01.
Berlin,30.01. - 04.02.,03.04. - 14.04.,19.05.+30.05.*,13.07. - 25.08.,02.10.+23.10. - 04.11.*,23.12. - 05.01.
Brandenburg,30.01. - 03.02.,03.04. - 14.04.,-*,13.07. - 26.08.,23.10. - 04.11.*,23.12. - 05.01.
Bremen,30.01. - 31.01.*,27.03. - 11.04.,19.05.+30.05.*,06.07. - 16.08.,02.10.+16.10. - 30.10.*,23.12. - 05.01.
Hamburg,27.01.,06.03. - 17.03.*,15.05. - 19.05.*,13.07. - 23.08.,02.10.+16.10. - 27.10.*,22.12. - 05.01.
Hessen,-,03.04. - 22.04.,-,24.07. - 01.09.,23.10. - 28.10.,27.12. - 13.01.
Mecklenburg-Vorpommern,06.02. - 18.02.,03.04. - 12.04.,19.05.+26.05. - 30.05.*,17.07. - 26.08.,09.10. - 14.10.+30.10.+01.11.*,21.12. - 03.01.
Niedersachsen,30.01. - 31.01.,27.03. - 11.04.,19.05.+30.05.*,06.07. - 16.08.,02.10.+16.10. - 30.10.*,27.12. - 05.01.
Nordrhein-Westfalen,-,03.04. - 15.04.,30.05.,22.06. - 04.08.,02.10. - 14.10.,21.12. - 05.01.
Rheinland-Pfalz,-*,03.04. - 06.04.,30.05. - 07.06.,24.07. - 01.09.,16.10. - 27.10.,27.12. - 05.01.
Saarland,20.02. - 24.02.,03.04. - 12.04.,30.05. - 02.06.,24.07. - 01.09.,23.10. - 03.11.,21.12. - 02.01.
Sachsen,13.02. - 24.02.,07.04. - 15.04.,19.05.*,10.07. - 18.08.,02.10. - 14.10.+30.10.*,23.12. - 02.01.
Sachsen-Anhalt,06.02. - 11.02.,03.04. - 08.04.,15.05. - 19.05.*,06.07. - 16.08.,02.10.+16.10. - 30.10.,21.12. - 03.01.
Schleswig-Holstein,-,06.04. - 22.04.,19.05. - 20.05.*,17.07. - 26.08.*,16.10. - 27.10.*,27.12. - 06.01.
Thüringen,13.02. - 17.02.,03.04. - 15.04.,19.05.*,10.07. - 19.08.,02.10. - 14.10.,22.12. - 05.01.
