beruf,titel,refnr,arbeitgeber,aktuelleVeroeffentlichungsdatum,modifikationsTimestamp,eintrittsdatum,externeUrl,arbeitsort.plz,arbeitsort.ort,arbeitsort.strasse,arbeitsort.region,arbeitsort.land,arbeitsort.koordinaten.lat,arbeitsort.koordinaten.lon,kundennummerHash
Betriebsleiter/in - Hotel und Gaststätten/Bachelor Professional in Hauswirtschaft,Schichtleiter m/w/d,12518-P796KD-MO6-S,Reisdorf Tankstellen - Raststätten/Tankstellen Hüttener Berge Ost/West,2026-03-01,2026-03-01T12:13:30.329,2026-03-01,https://www.hogapage.de/jobs/serviceleiter-in-alt-duvenstedt/P796KD-MO6/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,24791,Alt Duvenstedt,null,Schleswig-Holstein,Deutschland,54.3578236,9.6212544,
Restaurantfachmann/-frau,Servicemitarbeiter m/w/d,12518-AJX3C9-XQW-S,Reisdorf Tankstellen - Raststätten/Tankstellen Hüttener Berge Ost/West,2026-03-01,2026-03-01T12:13:30.272,2026-03-01,https://www.hogapage.de/jobs/servicekraft-in-alt-duvenstedt/AJX3C9-XQW/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,24791,Alt Duvenstedt,null,Schleswig-Holstein,Deutschland,54.3578236,9.6212544,
Betriebsleiter/in - Hotel und Gaststätten/Bachelor Professional in Hauswirtschaft,Schichtleiter m/w/d,12518-C49XSH-94A-S,Reisdorf Tankstellen - Raststätte Gudow Nord,2026-03-01,2026-03-01T12:13:30.052,2026-03-01,https://www.hogapage.de/jobs/serviceleiter-in-gudow/C49XSH-94A/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,23899,"Gudow, Kreis Herzogtum Lauenburg",null,Schleswig-Holstein,Deutschland,53.5583,10.7635,
Restaurantfachmann/-frau,Servicemitarbeiter m/w/d,12518-LU6QH7-GV4-S,Reisdorf Tankstellen - Raststätte Gudow Nord,2026-03-01,2026-03-01T12:13:29.952,2026-03-01,https://www.hogapage.de/jobs/servicekraft-in-gudow/LU6QH7-GV4/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,23899,"Gudow, Kreis Herzogtum Lauenburg",null,Schleswig-Holstein,Deutschland,53.5583,10.7635,
Koch/Köchin,Koch m/w/d,12518-GHPQYF-FQK-S,"Forstbaumschule, Steen GmbH",2026-03-01,2026-03-01T12:13:08.39,2026-03-01,https://www.hogapage.de/jobs/koch-in-kiel/GHPQYF-FQK/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,24105,Kiel,null,Schleswig-Holstein,Deutschland,54.3378515,10.1430838,
Buchhalter/in,Bilanzbuchhalter/in (m/w/d),12518-G84YTL-3FY-S,Spielbank SH GmbH,2026-03-01,2026-03-01T12:13:06.682,2026-03-01,https://www.hogapage.de/jobs/accountantbuchhalter-in-kiel/G84YTL-3FY/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,24103,Kiel,null,Schleswig-Holstein,Deutschland,54.3230917,10.1317967,
Restaurantfachmann/-frau,Spielservicemitarbeiter (w/m/d),12518-TQO7KE-6LI-S,Spielbank SH GmbH,2026-03-01,2026-03-01T12:13:06.62,2026-03-01,https://www.hogapage.de/jobs/servicekraft-in-l%C3%BCbeck/TQO7KE-6LI/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,23554,Lübeck,null,Schleswig-Holstein,Deutschland,53.8892748,10.6794718,
Küchenchef/in,Küchenchef Möwenbräu (m/w/d),12518-81PPB3-CL4-S,Weissenhäuser Strand GmbH & Co.KG,2026-03-01,2026-03-01T12:13:02.996,2026-03-01,https://www.hogapage.de/jobs/k%C3%BCchenchef-in-weissenh%C3%A4user-strand/81PPB3-CL4/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,23758,"Gremersdorf, Holstein",null,Schleswig-Holstein,Deutschland,54.3344677,10.9292005,
Küchenchef/in,Küchenchef American Diner (m/w/d),12518-C8P4BU-S5B-S,Weissenhäuser Strand GmbH & Co.KG,2026-03-01,2026-03-01T12:13:02.935,2026-03-01,https://www.hogapage.de/jobs/k%C3%BCchenchef-in-weissenh%C3%A4user-strand/C8P4BU-S5B/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,23758,"Gremersdorf, Holstein",null,Schleswig-Holstein,Deutschland,54.3344677,10.9292005,
Gästebetreuer/in,Crewmitglied (m/w/d) Reservierung & Empfang,12518-R7J4NT-XAG-S,Weissenhäuser Strand GmbH & Co.KG,2026-03-01,2026-03-01T12:13:02.875,2026-03-01,https://www.hogapage.de/jobs/hotelfachkraft-guest-relations-in-weissenh%C3%A4user-strand/R7J4NT-XAG/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,23758,"Gremersdorf, Holstein",null,Schleswig-Holstein,Deutschland,54.3344677,10.9292005,
Hausdame/Housekeeper,Hausdame (m/w/d) 4 - Sterne - Strandhotel,12518-JTH796-EMT-S,Weissenhäuser Strand GmbH & Co.KG,2026-03-01,2026-03-01T12:13:02.804,2026-03-01,https://www.hogapage.de/jobs/leitung-housekeeping-in-weissenh%C3%A4user-strand/JTH796-EMT/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,23758,"Gremersdorf, Holstein",null,Schleswig-Holstein,Deutschland,54.3344677,10.9292005,
Rettungsschwimmer/in,Fachangestellter für Bäderbetriebe/Rettungsschwimmer (m/w/d),12518-811613-A4F-S,Weissenhäuser Strand GmbH & Co.KG,2026-03-01,2026-03-01T12:13:02.741,2026-03-01,https://www.hogapage.de/jobs/rettungsschwimmer-in-weissenh%C3%A4user-strand/811613-A4F/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,23758,"Gremersdorf, Holstein",null,Schleswig-Holstein,Deutschland,54.3344677,10.9292005,
Empfangsmitarbeiter/in (Hotel),Crewmitglied (m/w/d) Rezeption/Empfang 4-Sterne-Strandhotel,12518-B77Y30-YZE-S,Weissenhäuser Strand GmbH & Co.KG,2026-03-01,2026-03-01T12:13:02.679,2026-03-01,https://www.hogapage.de/jobs/empfangsmitarbeiter-in-weissenh%C3%A4user-strand/B77Y30-YZE/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,23758,"Gremersdorf, Holstein",null,Schleswig-Holstein,Deutschland,54.3344677,10.9292005,
Wellnessmanager/in,Spa & Wellness Supervisor (m/w/d),12518-VIGRGJ-RQD-S,Weissenhäuser Strand GmbH & Co.KG,2026-03-01,2026-03-01T12:13:02.613,2026-03-01,https://www.hogapage.de/jobs/spa-manager-in-weissenh%C3%A4user-strand/VIGRGJ-RQD/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,23758,"Gremersdorf, Holstein",null,Schleswig-Holstein,Deutschland,54.3344677,10.9292005,
Helfer/in - Hotel,Qualitätsprüfer Ferienwohnungen (m/w/d),12518-9YRRNI-SVQ-S,Weissenhäuser Strand GmbH & Co.KG,2026-03-01,2026-03-01T12:13:02.511,2026-03-01,https://www.hogapage.de/jobs/mitarbeiter-housekeeping-in-weissenh%C3%A4user-strand/9YRRNI-SVQ/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,23758,"Gremersdorf, Holstein",null,Schleswig-Holstein,Deutschland,54.3344677,10.9292005,
Fachmann/-frau - Restaurants und Veranstaltungsgastronomie,Chef de Rang (all gender) - für unser Sternerestaurant,12518-V2NW0Z-S0H-S,Orangerie im Maritim Seehotel,2026-03-01,2026-03-01T12:12:49.906,2026-03-01,https://www.hogapage.de/jobs/commisdemichef-de-rang-in-timmendorfer-strand/V2NW0Z-S0H/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,23669,Timmendorfer Strand,null,Schleswig-Holstein,Deutschland,53.9913387,10.7806284,
Koch/Köchin,Frühstückskoch / Beikoch (all gender),12518-NCAQQS-6KL-S,Maritim Strandhotel Travemünde,2026-03-01,2026-03-01T12:12:48.697,2026-03-01,https://www.hogapage.de/jobs/koch-in-l%C3%BCbeck/NCAQQS-6KL/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,23570,Lübeck,null,Schleswig-Holstein,Deutschland,53.9621497,10.8609873,
Fachmann/-frau - Restaurants und Veranstaltungsgastronomie,Aushilfe Bankett / Service im Spätdienst (all gender),12518-S30R7P-5WC-S,Maritim Strandhotel Travemünde,2026-03-01,2026-03-01T12:12:48.539,2026-03-01,https://www.hogapage.de/jobs/eventservicekraft-in-l%C3%BCbeck/S30R7P-5WC/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,23570,Lübeck,null,Schleswig-Holstein,Deutschland,53.9621497,10.8609873,
Koch/Köchin,Aushilfe Frühstückskoch / Beikoch (all gender),12518-SZTX45-EDS-S,Maritim Strandhotel Travemünde,2026-03-01,2026-03-01T12:12:48.291,2026-03-01,https://www.hogapage.de/jobs/beikoch-in-l%C3%BCbeck/SZTX45-EDS/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,23570,Lübeck,null,Schleswig-Holstein,Deutschland,53.9621497,10.8609873,
Restaurantfachmann/-frau,Bankett- & Servicemitarbeiter (all gender),12518-S9ZEA8-FDU-S,Maritim Strandhotel Travemünde,2026-03-01,2026-03-01T12:12:48.226,2026-03-01,https://www.hogapage.de/jobs/servicekraft-in-l%C3%BCbeck/S9ZEA8-FDU/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,23570,Lübeck,null,Schleswig-Holstein,Deutschland,53.9621497,10.8609873,
Helfer/in - Reinigung,Reinigungskraft (all gender),12518-VHSPXB-MTE-S,Maritim Seehotel Timmendorfer Strand,2026-03-01,2026-03-01T12:12:47.555,2026-03-01,https://www.hogapage.de/jobs/reinigungskraft-in-timmendorfer-strand/VHSPXB-MTE/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,23669,Timmendorfer Strand,null,Schleswig-Holstein,Deutschland,53.9913387,10.7806284,
Restaurantfachmann/-frau,Aushilfe im Service (all gender) für unser Gourmetrestaurant Orangerie,12518-9JR10G-VQI-S,Maritim Seehotel Timmendorfer Strand,2026-03-01,2026-03-01T12:12:47.312,2026-03-01,https://www.hogapage.de/jobs/servicekraft-in-timmendorfer-strand/9JR10G-VQI/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,23669,Timmendorfer Strand,null,Schleswig-Holstein,Deutschland,53.9913387,10.7806284,
Helfer/in - Küche,Kantinenmitarbeiter (m/w/d),12518-EO5VRR-6LR-S,Menü 2000 Catering Röttgers GmbH & Co. KG,2026-03-01,2026-03-01T12:12:42.412,2026-03-01,https://www.hogapage.de/jobs/k%C3%BCchenhilfe-in-reinbek/EO5VRR-6LR/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,21465,Reinbek,null,Schleswig-Holstein,Deutschland,53.5329273,10.2604346,
Koch/Köchin,Koch Betriebsgastronomie (m/w/d),12518-1K7CPS-TM6-S,Menü 2000 Catering Röttgers GmbH & Co. KG,2026-03-01,2026-03-01T12:12:38.684,2026-03-01,https://www.hogapage.de/jobs/koch-gemeinschaftsverpflegung-in-brunsb%C3%BCttel/1K7CPS-TM6/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,25541,Brunsbüttel,null,Schleswig-Holstein,Deutschland,53.9127113,9.1268212,
Hauswirtschafter/in (ohne Schwerpunkte),Hauswirtschafterin Betriebsgastronomie (m/w/d),12518-SNSM64-0GM-S,Menü 2000 Catering Röttgers GmbH & Co. KG,2026-03-01,2026-03-01T12:12:38.622,2026-03-01,https://www.hogapage.de/jobs/hauswirtschafter-1-in-brunsb%C3%BCttel/SNSM64-0GM/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,25541,Brunsbüttel,null,Schleswig-Holstein,Deutschland,53.9127113,9.1268212,
Helfer/in - Küche,Kantinenmitarbeiter (m/w/d),12518-Q7VX68-F4K-S,Menü 2000 Catering Röttgers GmbH & Co. KG,2026-03-01,2026-03-01T12:12:38.557,2026-03-01,https://www.hogapage.de/jobs/k%C3%BCchenhilfe-in-brunsb%C3%BCttel/Q7VX68-F4K/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,25541,Brunsbüttel,null,Schleswig-Holstein,Deutschland,53.9127113,9.1268212,
Helfer/in - Küche,Kantinenmitarbeiter (m/w/d),12518-XXBG6H-ASZ-S,Menü 2000 Catering Röttgers GmbH & Co. KG,2026-03-01,2026-03-01T12:12:36.695,2026-03-01,https://www.hogapage.de/jobs/k%C3%BCchenhilfe-in-l%C3%BCbeck/XXBG6H-ASZ/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,23570,Lübeck,null,Schleswig-Holstein,Deutschland,53.9621497,10.8609873,
Unternehmensberater/in,Software Consultant Rechnungseingangsverarbeitung (m/w/d),12518-NDHBMQ-5KA-S,Scopevisio AG,2026-03-01,2026-03-01T12:12:25.733,2026-03-01,https://www.hogapage.de/jobs/it-consultant-in-kaltenkirchen/NDHBMQ-5KA/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,24568,"Kaltenkirchen, Holstein",null,Schleswig-Holstein,Deutschland,53.8290155,9.938807,
Fachkraft - Marketing/Verkauf/Vertrieb,Mitarbeiter:in Sales Operations (m/w/d),12518-CJSQ0T-BZJ-S,Scopevisio AG,2026-03-01,2026-03-01T12:12:24.854,2026-03-01,https://www.hogapage.de/jobs/vertriebsmitarbeiter-in-kaltenkirchen/CJSQ0T-BZJ/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,24568,"Kaltenkirchen, Holstein",null,Schleswig-Holstein,Deutschland,53.8290155,9.938807,
Softwareentwickler/in,Softwareentwickler/-in Webentwickler (m/w/d),12518-PDC1HE-3OX-S,Scopevisio AG,2026-03-01,2026-03-01T12:12:24.769,2026-03-01,https://www.hogapage.de/jobs/webentwickler-in-kaltenkirchen/PDC1HE-3OX/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,24568,"Kaltenkirchen, Holstein",null,Schleswig-Holstein,Deutschland,53.8290155,9.938807,
Helfer/in - Küche,Küchenhilfe (m/w/d),12518-55YU2X-YMF-S,apetito catering B.V. & Co. KG,2026-03-01,2026-03-01T12:12:01.5,2026-04-01,https://www.hogapage.de/jobs/k%C3%BCchenhilfe-in-ahrensburg/55YU2X-YMF/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,22926,Ahrensburg,null,Schleswig-Holstein,Deutschland,53.6712518,10.2350504,
Koch/Köchin,Koch (m/w/d),12518-LTX2RY-Y1R-S,apetito catering B.V. & Co. KG,2026-03-01,2026-03-01T12:12:00.46,2026-03-01,https://www.hogapage.de/jobs/koch-in-neum%C3%BCnster/LTX2RY-Y1R/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,24539,"Neumünster, Holstein",null,Schleswig-Holstein,Deutschland,54.0481312,9.9934679,
Helfer/in - Küche,Küchenhilfe (m/w/d),12518-728LHC-M0X-S,apetito catering B.V. & Co. KG,2026-03-01,2026-03-01T12:11:58.135,2026-03-01,https://www.hogapage.de/jobs/k%C3%BCchenhilfe-in-neum%C3%BCnster/728LHC-M0X/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,24539,"Neumünster, Holstein",null,Schleswig-Holstein,Deutschland,54.0481312,9.9934679,
Servicefahrer/in,Fahrer m/w/d,12518-ABOU2S-K56-S,"Blum Fischspezialitäten, Inh. Walter Blum",2026-03-01,2026-03-01T12:11:55.035,2026-03-01,https://www.hogapage.de/jobs/fahrer-in-sylt-ot-tinnum/ABOU2S-K56/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,25980,Sylt,null,Schleswig-Holstein,Deutschland,54.8759192,8.3659529,
Leiter/in - Verkauf (Handel),Geschäftsführer / Betriebsleiter (m/w/d),12518-RSFHMA-ZV1-S,"Blum Fischspezialitäten, Inh. Walter Blum",2026-03-01,2026-03-01T12:11:54.977,2026-03-01,https://www.hogapage.de/jobs/abteilungsleiter-verkauf-in-sylt-ot-tinnum/RSFHMA-ZV1/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,25980,Sylt,null,Schleswig-Holstein,Deutschland,54.8759192,8.3659529,
"Filialleiter/in, Verkaufsstellenleiter/in",Filialleiter Fischgeschäft mit Bistro (m/w/d),12518-9IQ6TE-BPV-S,"Blum Fischspezialitäten, Inh. Walter Blum",2026-03-01,2026-03-01T12:11:54.884,2026-03-01,https://www.hogapage.de/jobs/marktleiter-in-sylt-ot-tinnum/9IQ6TE-BPV/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,25980,Sylt,null,Schleswig-Holstein,Deutschland,54.8759192,8.3659529,
Restaurantfachmann/-frau,Servicemitarbeiter (w/m/d),12518-KERB13-B1T-S,ATLANTIC Hotel Lübeck,2026-03-01,2026-03-01T12:11:48.143,2026-03-01,https://www.hogapage.de/jobs/servicekraft-in-l%C3%BCbeck/KERB13-B1T/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,23552,Lübeck,null,Schleswig-Holstein,Deutschland,53.8661305,10.6879725,
Servicefahrer/in,Student*in ? Servicehelfer*in ? Car-Support - Autovermietung,12518-SGT5KF-YMQ-S,STUDENTpartout GmbH - Standort Lübeck,2026-03-01,2026-03-01T12:11:42.143,2026-03-01,https://www.hogapage.de/jobs/fahrer-in-l%C3%BCbeck/SGT5KF-YMQ/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,23554,Lübeck,null,Schleswig-Holstein,Deutschland,53.8892748,10.6794718,
Restaurantfachmann/-frau,Student*in - Servicekraft - Events & Veranstaltungen,12518-N9G3MD-82R-S,STUDENTpartout GmbH - Standort Lübeck,2026-03-01,2026-03-01T12:11:42.081,2026-03-01,https://www.hogapage.de/jobs/servicekraft-in-l%C3%BCbeck/N9G3MD-82R/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,23558,Lübeck,null,Schleswig-Holstein,Deutschland,53.8570481,10.657862,
Helfer/in - Hotel,Student*in - Gastronomie - Service - Küche - Bar - Theke - Barista,12518-TTGGKY-KLK-S,STUDENTpartout GmbH - Standort Lübeck,2026-03-01,2026-03-01T12:11:42.017,2026-03-01,https://www.hogapage.de/jobs/studentenjob-1-in-l%C3%BCbeck/TTGGKY-KLK/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,23558,Lübeck,null,Schleswig-Holstein,Deutschland,53.8570481,10.657862,
Helfer/in - Hotel,Student*in - Jobs für Studierende - Studentenjobs,12518-D15O39-RIH-S,STUDENTpartout GmbH - Standort Lübeck,2026-03-01,2026-03-01T12:11:41.953,2026-03-01,https://www.hogapage.de/jobs/studentenjob-1-in-l%C3%BCbeck/D15O39-RIH/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,23558,Lübeck,null,Schleswig-Holstein,Deutschland,53.8570481,10.657862,
Hauswart/in/Haustechniker/in,Haustechniker (m/w/d),12518-YW04B8-4LJ-S,me and all hotel kiel,2026-03-01,2026-03-01T12:11:24.472,2026-03-01,https://www.hogapage.de/jobs/haustechniker-in-kiel/YW04B8-4LJ/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,24114,Kiel,null,Schleswig-Holstein,Deutschland,54.3146802,10.1152781,
Night-Auditor,Night Audit /Explorer (m/w/d),12518-DQHZ2G-V38-S,me and all hotel kiel,2026-03-01,2026-03-01T12:11:24.402,2026-03-01,https://www.hogapage.de/jobs/night-auditor-in-kiel/DQHZ2G-V38/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,24114,Kiel,null,Schleswig-Holstein,Deutschland,54.3146802,10.1152781,
Empfangschef/in (Hotel),Explorer on Duty Front Office/ Front Office Manager (m/w/d),12518-69V91M-HJ2-S,me and all hotel kiel,2026-03-01,2026-03-01T12:11:24.341,2026-03-01,https://www.hogapage.de/jobs/empfangsleiter-in-kiel/69V91M-HJ2/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,24114,Kiel,null,Schleswig-Holstein,Deutschland,54.3146802,10.1152781,
Food-and-Beverage-Manager/in,Explorer on Duty F&B/ F&B Operations Manager (m/w/d),12518-2TQ2EG-YBN-S,me and all hotel kiel,2026-03-01,2026-03-01T12:11:24.279,2026-03-01,https://www.hogapage.de/jobs/fb-manager-in-kiel/2TQ2EG-YBN/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,24114,Kiel,null,Schleswig-Holstein,Deutschland,54.3146802,10.1152781,
Koch/Köchin,Koch (m/w/d),12518-DWNFMJ-UC2-S,Aramark Deutschland,2026-03-01,2026-03-01T12:11:12.874,2026-03-01,https://www.hogapage.de/jobs/koch-in-heide/DWNFMJ-UC2/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,25746,"Heide, Holstein",null,Schleswig-Holstein,Deutschland,54.1967599,9.1224955,
Helfer/in - Küche,Küchenhilfe (m/w/d),12518-D405A0-JRE-S,Aramark Deutschland,2026-03-01,2026-03-01T12:11:06.904,2026-03-01,https://www.hogapage.de/jobs/k%C3%BCchenhilfe-in-uetersen/D405A0-JRE/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,25436,Uetersen,null,Schleswig-Holstein,Deutschland,53.6874368,9.6769019,
